"day","n","group","any","rand"
31,0,1,0,7355
31,0,1,0,4399
31,2,1,1,6087
31,0,1,0,1456
31,1,1,1,6175
31,0,1,0,1012
31,0,1,0,9149
31,0,1,0,5532
31,0,1,0,4021
31,0,1,0,2126
31,0,1,0,2269
31,1,1,1,6437
31,0,1,0,3813
31,0,1,0,5213
31,0,1,0,5901
31,0,1,0,1655
31,0,1,0,9136
31,0,1,0,3695
31,0,1,0,5887
31,0,1,0,2416
31,0,1,0,3073
31,0,1,0,6399
31,0,1,0,1883
32,0,1,0,2379
32,0,1,0,2698
32,0,1,0,3052
32,0,1,0,1314
32,0,1,0,9299
32,0,1,0,7355
32,0,1,0,4399
32,0,1,0,6087
32,0,1,0,1456
32,0,1,0,6175
32,0,1,0,1012
32,0,1,0,9149
32,0,1,0,5532
32,0,1,0,4021
32,0,1,0,2126
32,0,1,0,2269
32,1,1,1,6437
32,0,1,0,3813
32,0,1,0,5213
32,0,1,0,5901
32,0,1,0,1655
32,0,1,0,9136
32,0,1,0,3695
32,0,1,0,5887
32,0,1,0,2416
32,0,1,0,3073
32,0,1,0,6399
32,1,1,1,1883
33,4,1,1,2379
33,0,1,0,2698
33,0,1,0,3052
33,0,1,0,1314
33,9,1,1,9299
33,3,1,1,7355
33,0,1,0,4399
33,0,1,0,6087
33,0,1,0,1456
33,0,1,0,6175
33,0,1,0,1012
33,0,1,0,9149
33,0,1,0,5532
33,0,1,0,4021
33,0,1,0,2126
33,0,1,0,2269
33,4,1,1,6437
33,0,1,0,3813
33,0,1,0,5213
33,0,1,0,5901
33,0,1,0,1655
33,0,1,0,9136
33,0,1,0,3695
33,0,1,0,5887
33,0,1,0,2416
33,0,1,0,3073
33,0,1,0,6399
33,0,1,0,1883
34,1,1,1,2379
34,0,1,0,2698
34,0,1,0,3052
34,0,1,0,1314
34,0,1,0,9299
34,0,1,0,7355
34,0,1,0,4399
34,3,1,1,6087
34,0,1,0,1456
34,0,1,0,6175
34,2,1,1,1012
34,0,1,0,9149
34,0,1,0,5532
34,0,1,0,4021
34,0,1,0,2126
34,0,1,0,2269
34,0,1,0,6437
34,0,1,0,3813
34,0,1,0,5213
34,0,1,0,5901
34,0,1,0,1655
34,0,1,0,9136
34,0,1,0,3695
34,0,1,0,5887
34,0,1,0,2416
34,0,1,0,3073
34,0,1,0,6399
34,0,1,0,1883
35,0,1,0,2379
35,0,1,0,2698
35,0,1,0,3052
35,0,1,0,1314
35,0,1,0,9299
35,0,1,0,7355
35,0,1,0,4399
35,3,1,1,6087
35,0,1,0,1456
35,0,1,0,6175
35,4,1,1,1012
35,0,1,0,9149
35,2,1,1,5532
35,0,1,0,4021
35,0,1,0,2126
35,0,1,0,2269
35,3,1,1,6437
35,0,1,0,3813
35,0,1,0,5213
35,1,1,1,5901
35,0,1,0,1655
35,0,1,0,9136
35,0,1,0,3695
35,0,1,0,5887
35,0,1,0,2416
35,0,1,0,3073
35,0,1,0,6399
35,0,1,0,1883
36,1,1,1,2379
36,0,1,0,2698
36,0,1,0,3052
36,0,1,0,1314
36,0,1,0,9299
36,0,1,0,7355
36,0,1,0,4399
36,2,1,1,6087
36,0,1,0,1456
36,0,1,0,6175
36,4,1,1,1012
36,0,1,0,9149
36,0,1,0,5532
36,0,1,0,4021
36,0,1,0,2126
36,0,1,0,2269
36,0,1,0,6437
36,0,1,0,3813
36,0,1,0,5213
36,4,1,1,5901
36,0,1,0,1655
36,0,1,0,9136
36,0,1,0,3695
36,0,1,0,5887
36,0,1,0,2416
36,0,1,0,3073
36,0,1,0,6399
36,0,1,0,1883
37,0,1,0,2379
37,0,1,0,2698
37,0,1,0,3052
37,0,1,0,1314
37,0,1,0,9299
37,0,1,0,7355
37,0,1,0,4399
37,0,1,0,6087
37,0,1,0,1456
37,0,1,0,6175
37,1,1,1,1012
37,0,1,0,9149
37,1,1,1,5532
37,0,1,0,4021
37,0,1,0,2126
37,0,1,0,2269
37,0,1,0,6437
37,0,1,0,3813
37,0,1,0,5213
37,0,1,0,5901
37,0,1,0,1655
37,0,1,0,9136
37,0,1,0,3695
37,0,1,0,5887
37,0,1,0,2416
37,0,1,0,3073
37,0,1,0,6399
37,0,1,0,1883
38,1,1,1,2379
38,0,1,0,2698
38,0,1,0,3052
38,0,1,0,1314
38,0,1,0,9299
38,0,1,0,7355
38,0,1,0,4399
38,0,1,0,6087
38,0,1,0,1456
38,0,1,0,6175
38,0,1,0,1012
38,0,1,0,9149
38,0,1,0,5532
38,0,1,0,4021
38,0,1,0,2126
38,0,1,0,2269
38,1,1,1,6437
38,0,1,0,3813
38,0,1,0,5213
38,1,1,1,5901
38,0,1,0,1655
38,0,1,0,9136
38,0,1,0,3695
38,0,1,0,5887
38,0,1,0,2416
38,0,1,0,3073
38,0,1,0,6399
38,0,1,0,1883
39,0,1,0,2379
39,0,1,0,2698
39,0,1,0,3052
39,0,1,0,1314
39,0,1,0,9299
39,1,1,1,7355
39,0,1,0,4399
39,2,1,1,6087
39,0,1,0,1456
39,0,1,0,6175
39,0,1,0,1012
39,0,1,0,9149
39,0,1,0,5532
39,0,1,0,4021
39,0,1,0,2126
39,0,1,0,2269
39,1,1,1,6437
39,0,1,0,3813
39,0,1,0,5213
39,0,1,0,5901
39,0,1,0,1655
39,0,1,0,9136
39,0,1,0,3695
39,0,1,0,5887
39,0,1,0,2416
39,0,1,0,3073
39,0,1,0,6399
39,0,1,0,1883
40,0,1,0,2379
40,0,1,0,2698
40,0,1,0,3052
40,0,1,0,1314
40,0,1,0,9299
40,0,1,0,7355
40,0,1,0,4399
40,0,1,0,6087
40,0,1,0,1456
40,0,1,0,6175
40,0,1,0,1012
40,0,1,0,9149
40,0,1,0,5532
40,0,1,0,4021
40,0,1,0,2126
40,0,1,0,2269
40,0,1,0,6437
40,0,1,0,3813
40,0,1,0,5213
40,0,1,0,5901
40,0,1,0,1655
40,0,1,0,9136
40,0,1,0,3695
40,0,1,0,5887
40,0,1,0,2416
40,0,1,0,3073
40,0,1,0,6399
40,1,1,1,1883
41,0,1,0,2379
41,0,1,0,2698
41,0,1,0,3052
41,0,1,0,1314
41,0,1,0,9299
41,0,1,0,7355
41,0,1,0,4399
41,2,1,1,6087
41,0,1,0,1456
41,0,1,0,6175
41,0,1,0,1012
41,0,1,0,9149
41,1,1,1,5532
41,0,1,0,4021
41,0,1,0,2126
41,0,1,0,2269
41,3,1,1,6437
41,0,1,0,3813
41,0,1,0,5213
41,0,1,0,5901
41,0,1,0,1655
41,0,1,0,9136
41,0,1,0,3695
41,0,1,0,5887
41,0,1,0,2416
41,0,1,0,3073
41,0,1,0,6399
41,0,1,0,1883
42,0,1,0,2379
42,0,1,0,2698
42,0,1,0,3052
42,0,1,0,1314
42,0,1,0,9299
42,0,1,0,7355
42,0,1,0,4399
42,0,1,0,6087
42,0,1,0,1456
42,0,1,0,6175
42,0,1,0,1012
42,0,1,0,9149
42,0,1,0,5532
42,0,1,0,4021
42,0,1,0,2126
42,0,1,0,2269
42,0,1,0,6437
42,0,1,0,3813
42,0,1,0,5213
42,0,1,0,5901
42,0,1,0,1655
42,0,1,0,9136
42,0,1,0,3695
42,0,1,0,5887
42,0,1,0,2416
42,0,1,0,3073
42,0,1,0,6399
42,0,1,0,1883
43,0,1,0,2379
43,0,1,0,2698
43,0,1,0,3052
43,0,1,0,1314
43,0,1,0,9299
43,0,1,0,7355
43,0,1,0,4399
43,0,1,0,6087
43,0,1,0,1456
43,0,1,0,6175
43,0,1,0,1012
43,0,1,0,9149
43,0,1,0,5532
43,0,1,0,4021
43,0,1,0,2126
43,0,1,0,2269
43,0,1,0,6437
43,0,1,0,3813
43,0,1,0,5213
43,0,1,0,5901
43,0,1,0,1655
43,0,1,0,9136
43,0,1,0,3695
43,0,1,0,5887
43,0,1,0,2416
43,0,1,0,3073
43,0,1,0,6399
43,0,1,0,1883
44,0,1,0,2379
44,0,1,0,2698
44,0,1,0,3052
44,0,1,0,1314
44,0,1,0,9299
44,0,1,0,7355
44,0,1,0,4399
44,0,1,0,6087
44,0,1,0,1456
44,0,1,0,6175
44,0,1,0,1012
44,0,1,0,9149
44,1,1,1,5532
44,0,1,0,4021
44,0,1,0,2126
44,0,1,0,2269
44,0,1,0,6437
44,0,1,0,3813
44,0,1,0,5213
44,0,1,0,5901
44,0,1,0,1655
44,0,1,0,9136
44,0,1,0,3695
44,0,1,0,5887
44,0,1,0,2416
44,0,1,0,3073
44,0,1,0,6399
44,0,1,0,1883
45,0,1,0,2379
45,0,1,0,2698
45,0,1,0,3052
45,0,1,0,1314
45,0,1,0,9299
45,0,1,0,7355
45,0,1,0,4399
45,0,1,0,6087
45,0,1,0,1456
